상담일자,Dnis,Channel,소재,광고비,광고횟수,I/B콜수,응대호,정기건수,정기금액,일시건수,일시금액,응대율,콜전환율,정기전환율,CPR,ROI
2026-04-02,1899-0218,EBS,식사지원 은영이ver2,"1,430,000",3,4,3,2,"40,000",1,"20,000",75%,133%,67%,"357,500",0.34
2026-04-02,1899-0219,SPOTV,식사지원 지영이,"177,419",3,,,,,,,0%,0%,0%, - ,0
2026-04-02,1899-0519,SPOTV2,식사지원 사랑이,"171,875",4,2,2,1,"10,000",,,100%,50%,50%,"85,938",0.7
2026-04-02,1899-0325,SPOTV G&H (SVC),식사지원 지영이, - ,3,2,1,1,"20,000",,,50%,67%,100%, - ,0
2026-04-02,1899-0762,JTBC4,식사지원 은영이ver2,"358,149",10,2,1,2,"40,000", - , - ,50%,20%,200%,"179,075",1.34
2026-04-02,1899-7318,JTBC4,가족돌봄 지수,"358,149",10,1,1,1,"20,000", - , - ,100%,10%,100%,"358,149",0.67
2026-04-02,1899-7319,JTBC4,가족돌봄 선우,"286,519",8,1,1, - , - , - , - ,100%,13%,0%,"286,519",0
2026-04-02,1899-7325,JTBC4,식사지원 사랑이,"286,519",8,1,1,1,"30,000", - , - ,100%,13%,100%,"286,519",1.26
2026-04-02,1899-7316,JTBC4,식사지원 준우_셰프,"286,519",8,5,5,3,"60,000", - , - ,100%,63%,60%,"57,304",2.51
2026-04-02,1899-0739,JTBC4,뇌병변 무준이ver2,"286,519",8,2,1, - , - , - , - ,50%,25%,0%,"143,260",0
2026-04-02,1899-7326,JTBC2 (SVC),뇌병변 무준이ver2, - ,1,,,,,,,0%,0%,0%, - ,0
2026-04-02,1899-0776,라이프타임,가족돌봄 지수ver2,"244,784",4,3,3,,,,,100%,75%,0%,"81,595",0
2026-04-02,1899-7314,히스토리 (SVC),식사지원 지영이, - ,6,,,,,,,0%,0%,0%, - ,0
2026-04-02,1899-5186,시네마천국,식사지원 지영이,"183,333",8,1,,1,"25,000",,,0%,13%,0%,"183,333",1.64
2026-04-02,-,기타 TV채널,-, - , - ,1,,,,,,0%,0%,0%, - ,0
2026-04-02,2102-4590,발신,-, - , - ,8,2,,,,,25%,0%,0%, - ,0
