상담일자,Dnis,Channel,소재,광고비,광고횟수,I/B콜수,응대호,정기건수,정기금액,일시건수,일시금액,응대율,콜전환율,정기전환율,CPR,ROI
2026-02-01,1899-0218,EBS,식사지원 은영이ver2," 848,452 ", 2 , 3 , 3 , 3 ," 60,000 ",,,100%,150%,100%," 282,817 ",0.85
2026-02-01,1899-0219,SPOTV,식사지원 지영이," 185,811 ", 5 , 2 , 1 , 2 ," 40,000 ",,,50%,40%,200%," 92,905 ",2.58
2026-02-01,1899-0519,SPOTV2,식사지원 지영이," 183,333 ", 4 , 1 , 1 ,,, 1 ," 20,000 ",100%,25%,0%," 183,333 ",0.00
2026-02-01,1899-0325,SPOTV G&H (SVC),식사지원 지영이, - , 5 , 1 , 1 ,,,,,100%,20%,0%, - ,0.00
2026-02-01,1899-7319,JTBC4,은영이 셀럽," 218,082 ", 5 , 3 , 2 , 1 ," 25,000 ", - , - ,67%,60%,50%," 72,694 ",1.38
2026-02-01,1899-0762,JTBC4,식사지원 은영이 ver2," 436,164 ", 10 , 2 , 1 , - , - , - , - ,50%,20%,0%," 218,082 ",0.00
2026-02-01,1899-7318,JTBC4,가족돌봄 지수," 436,164 ", 10 , 2 , 2 , 2 ," 45,000 ", - , - ,100%,20%,100%," 218,082 ",1.24
2026-02-01,1899-7316,JTBC4,식사지원 준우_셰프," 348,931 ", 8 , 3 , 2 , 2 ," 40,000 ", - , - ,67%,38%,100%," 116,310 ",1.38
2026-02-01,1899-2887,JTBC4,식사지원 준우_메인," 218,082 ", 5 , 1 , - , - , - , - , - ,0%,20%,0%," 218,082 ",0.00
2026-02-01,1899-0739,JTBC4,뇌병변 무준이ver2," 218,082 ", 5 , 2 , 2 , 1 ," 20,000 ", - , - ,100%,40%,50%," 109,041 ",1.10
2026-02-01,1899-7325,JTBC4,난방비 동하," 305,315 ", 7 , - , - , - , - , - , - ,0%,0%,0%, - ,0.00
2026-02-01,1899-0762,JTBC2 (SVC),난방비 동하, - , 2 , 1 , 1 , 1 ," 20,000 ",,,100%,50%,100%, - ,0.00
2026-02-01,1899-7318,라이프타임,가족돌봄 지수ver2," 60,773 ", 2 ,,,,,,,0%,0%,0%, - ,0.00
2026-02-01,1899-7316,히스토리 (SVC),식사지원 지영이, - , 6 ,,,,,,,0%,0%,0%, - ,0.00
2026-02-01,1899-2887,시네마천국,식사지원 지영이," 196,429 ", 8 ,,, 1 ," 20,000 ",,,0%,0%,0%, - ,1.22
2026-02-01,1899-0795,MBN PLUS,은영이 셀럽," 733,333 ", 7 , 13 , 12 , 5 ," 110,000 ", 1 ," 1,000,000 ",92%,186%,42%," 56,410 ",1.80
2026-02-01,1899-3569,기타 TV채널,-, - , - ,,,,,,,0%,0%,0%, - ,0.00
2026-02-01,1899-7325,발신,-, - , - , 1 ,,,,,,0%,0%,0%, - ,0.00
2026-02-02,1899-7326,EBS,식사지원 은영이ver2," 1,490,524 ", 3 , 7 , 6 , 3 ," 80,000 ",,,86%,233%,50%," 212,932 ",0.64
2026-02-02,1899-0217,SPOTV,식사지원 지영이," 185,811 ", 5 ,,,,,,,0%,0%,0%, - ,0.00
2026-02-02,1899-0263,SPOTV2,식사지원 지영이," 183,333 ", 4 , 1 ,,,,,,0%,25%,0%," 183,333 ",0.00
2026-02-02,1899-0739,SPOTV G&H (SVC),식사지원 지영이, - , 5 , 4 , 3 , 2 ," 45,000 ",,,75%,80%,67%, - ,0.00
2026-02-02,1899-7319,JTBC4,은영이 셀럽," 144,357 ", 4 , 2 , 1 , 1 ," 20,000 ", - , - ,50%,50%,100%," 72,179 ",1.66
2026-02-02,1899-0762,JTBC4,식사지원 은영이 ver2," 324,803 ", 9 , 1 , 1 , 1 ," 20,000 ", - , - ,100%,11%,100%," 324,803 ",0.74
2026-02-02,1899-7318,JTBC4,가족돌봄 지수," 324,803 ", 9 , - , - , - , - , - , - ,0%,0%,0%, - ,0.00
2026-02-02,1899-7316,JTBC4,식사지원 준우_셰프," 216,535 ", 6 , 1 , - , 1 ," 30,000 ", - , - ,0%,17%,0%," 216,535 ",1.66
2026-02-02,1899-2887,JTBC4,식사지원 준우_메인," 180,446 ", 5 , - , - , - , - , - , - ,0%,0%,0%, - ,0.00
2026-02-02,1899-0739,JTBC4,뇌병변 무준이ver2," 180,446 ", 5 , 1 , 1 , 1 ," 20,000 ", 1 ," 20,000 ",100%,20%,100%," 180,446 ",1.33
2026-02-02,1899-7325,JTBC4,난방비 동하," 252,625 ", 7 , 1 , - , 1 ," 10,000 ", - , - ,0%,14%,0%," 252,625 ",0.48
