상담일자,Dnis,Channel,소재,광고비,광고횟수,I/B콜수,응대호,정기건수,정기금액,일시건수,일시금액,응대율,콜전환율,정기전환율,CPR,ROI
2026-03-31,1899-0218,EBS,식사지원 은영이ver2," 938,617 ", 3 , 5 , 3 , 3 ," 80,000 ", 1 ," 20,000 ",60%,167%,100%," 187,723 ",1.02
2026-03-31,1899-0219,SPOTV,식사지원 지영이," 154,930 ", 4 ,,,,,,,0%,0%,0%, - ,0.00
2026-03-31,1899-0519,SPOTV2,식사지원 사랑이," 165,414 ", 4 , 1 , 1 , 1 ," 20,000 ",,,100%,25%,100%," 165,414 ",1.45
2026-03-31,1899-0325,SPOTV G&H (SVC),식사지원 지영이, - , 5 , 2 , 1 , 1 ," 20,000 ",,,50%,40%,100%, - ,0.00
2026-03-31,1899-0762,JTBC4,식사지원 은영이ver2," 328,978 ", 10 , 2 , 1 , 1 ," 30,000 ", - , - ,50%,20%,100%," 164,489 ",1.09
2026-03-31,1899-7318,JTBC4,가족돌봄 지수," 328,978 ", 10 , 4 , 3 , 2 ," 40,000 ", - , - ,75%,40%,67%," 82,245 ",1.46
2026-03-31,1899-7319,JTBC4,가족돌봄 선우," 230,285 ", 7 , 1 , 1 , - , - , - , - ,100%,14%,0%," 230,285 ",0.00
2026-03-31,1899-7325,JTBC4,식사지원 사랑이," 230,285 ", 7 , 1 , 1 , 1 ," 30,000 ", - , - ,100%,14%,100%," 230,285 ",1.56
2026-03-31,1899-7316,JTBC4,식사지원 준우_셰프," 263,182 ", 8 , 1 , 1 , 1 ," 20,000 ", - , - ,100%,13%,100%," 263,182 ",0.91
2026-03-31,1899-0739,JTBC4,뇌병변 무준이ver2," 263,182 ", 8 , 2 , 2 , 2 ," 50,000 ", - , - ,100%,25%,100%," 131,591 ",2.28
2026-03-31,1899-7326,JTBC2 (SVC),뇌병변 무준이ver2, - , 2 , 1 ,,,, 1 ," 20,000 ",0%,50%,0%, - ,0.00
2026-03-31,1899-0776,라이프타임,가족돌봄 지수ver2," 188,874 ", 4 , 1 , 1 , 1 ," 20,000 ",,,100%,25%,100%," 188,874 ",1.27
2026-03-31,1899-7314,히스토리 (SVC),식사지원 지영이, - , 7 , 1 , 1 ,,,,,100%,14%,0%, - ,0.00
2026-03-31,1899-5186,시네마천국,식사지원 지영이," 177,419 ", 8 , 4 , 3 , 2 ," 30,000 ", 1 ," 50,000 ",75%,50%,67%," 44,355 ",2.03
2026-03-31,1899-0217,MBN PLUS,은영이 셀럽," 700,000 ", 7 , 1 , 1 ,,,,,100%,14%,0%," 700,000 ",0.00
2026-03-31,1899-3569,빌리어즈TV,식사지원 은영이_콜문구," 313,077 ", 5 , 1 , 1 , 1 ," 20,000 ",,,100%,20%,100%," 313,077 ",0.77
2026-03-31,-,기타 TV채널,-, - , - ,,,,,,,0%,0%,0%, - ,0.00
2026-03-31,2102-4590,발신,-, - , - , 2 , 2 ,,,,,100%,0%,0%, - ,0.00
